Indicadores Municipais
População1.1 %R.Líquida Total2.1 D.Total Saúde/Hab2.2 %D.Pessoal/D.Total2.3 %D.com Medicamentos2.4 %D.Serv.Terc/D.Total2.5 %D.Invest/D.TotalR.Transf.SUSD.R.PrópriosD.Total Saúde por Munic-BR
Período:2019
"Munic-BR";"População";"1.1_%R.Líquida_Total";"2.1_D.Total_Saúde/Hab";"2.2_%D.Pessoal/D.Total";"2.3_%D.com_Medicamentos";"2.4_%D.Serv.Terc/D.Total";"2.5_%D.Invest/D.Total";"R.Transf.SUS";"D.R.Próprios";"D.Total_Saúde"
"110001 Alta Floresta D'Oeste";23167;5,05;701,57;81,16;2,35;3,77;0,00;6653960,62;9307117,33;16253356,53
"110037 Alto Alegre dos Parecis";13227;3,48;617,61;72,21;2,21;3,66;4,36;3852056,02;5138711,26;8169138,72
"110040 Alto Paraíso";20999;4,56;499,16;54,39;2,87;4,25;12,75;3582815,28;5313518,74;10481888,42
"110034 Alvorada D'Oeste";14722;4,08;740,89;60,96;1,52;8,30;14,91;3336414,79;5924003,90;10907420,63
"110002 Ariquemes";106168;14,48;665,87;66,21;3,33;4,18;5,01;40264612,30;30529987,69;70694168,92
"110045 Buritis";38937;6,69;411,61;62,97;1,82;7,76;10,61;10183277,83;8078180,27;16026707,81
"110003 Cabixi";5438;4,15;1261,79;60,42;2,45;3,49;9,73;3621026,16;4363612,94;6861599,87
"110060 Cacaulândia";6190;3,71;854,14;59,64;1,99;5,92;3,32;1823036,49;3532597,48;5287108,29
"110004 Cacoal";84813;17,31;612,19;53,34;1,30;16,56;16,58;27216898,71;22221916,59;51921725,77
"110070 Campo Novo de Rondônia";14009;3,40;603,49;79,92;3,06;5,05;2,03;4864474,65;5289761,59;8454240,93
"110080 Candeias do Jamari";25983;8,35;534,52;64,63;0,00;7,52;9,49;4939550,36;8526778,92;13888402,74
"110090 Castanheiras";3119;2,52;2150,96;52,35;0,74;6,09;30,35;1502085,17;3426909,99;6708831,82
"110005 Cerejeiras";16444;9,40;795,86;48,93;4,95;4,46;2,61;7263729,10;8438886,44;13087154,77
"110092 Chupinguaia";10886;4,54;933,76;61,70;2,04;5,21;6,42;2438689,29;7419615,08;10164924,49
"110006 Colorado do Oeste";16227;6,95;851,18;61,25;7,09;3,30;10,78;5190566,12;8218933,05;13812132,78
"110007 Corumbiara";7567;5,13;1185,13;62,70;2,94;4,13;15,14;1985380,42;5469218,49;8967898,44
"110008 Costa Marques";17855;4,40;547,97;48,33;0,70;16,62;15,77;2803958,87;4584649,51;9784033,47
"110094 Cujubim";24226;3,72;366,19;47,88;1,33;10,99;18,64;7137857,52;4350524,34;8871243,57
